App Name,Description,Price,Google Play URL,App developer,Google Play developer URL,Relevance,Rating,Number of ratings,Category,Country,Last updated,Installs
MTN Phonebook Backup,,,https://play.google.com/store/apps/details?id=com.mtngh.mtnphonebookbackup,MTN Ghana - Scancom,https://play.google.com/store/apps/developer?id=MTN+Ghana+-+Scancom,,,,,,,
MTN Protect,,,https://play.google.com/store/apps/details?id=com.mtngh.protect,MTN Ghana - Scancom,https://play.google.com/store/apps/developer?id=MTN+Ghana+-+Scancom,,,,,,,
MTN HitMaker,,,https://play.google.com/store/apps/details?id=com.mtnghana.mtnhitmaker,NantiS,https://play.google.com/store/apps/developer?id=NantiS,,,,,,,
MyIrancell,,,https://play.google.com/store/apps/details?id=com.mtni.myirancell,Irancell,https://play.google.com/store/apps/developer?id=Irancell,,,,,,,
MTNPLAY Ghana,,,https://play.google.com/store/apps/details?id=com.mtnplay.app.gh,MTN GHANA,https://play.google.com/store/apps/developer?id=MTN+GHANA,,,,,,,
MTN Nawraniyat - ramadan 2016,,,https://play.google.com/store/apps/details?id=com.mtnsd.alzain,Takwene,https://play.google.com/store/apps/dev?id=8908929284439254857,,,,,,,
MTN Web Phone,,,https://play.google.com/store/apps/details?id=com.mtnwebphone.rcs,MTN Uganda LTD,https://play.google.com/store/apps/developer?id=MTN+Uganda+LTD,,,,,,,
Bulk SMS App (Free),,,https://play.google.com/store/apps/details?id=com.multitexter.bulksms,Lordandi Solutionscorp,https://play.google.com/store/apps/developer?id=Lordandi+Solutionscorp,,,,,,,
Adirondack Trails,,,https://play.google.com/store/apps/details?id=com.mvgis.recreation.hiking,Mohawk Valley GIS,https://play.google.com/store/apps/developer?id=Mohawk+Valley+GIS,,,,,,,
MyMTN Cyprus,,,https://play.google.com/store/apps/details?id=com.mymtncy,MTN Cyprus,https://play.google.com/store/apps/developer?id=MTN+Cyprus,,,,,,,
South Africa - USSD,,,https://play.google.com/store/apps/details?id=com.opensoftwarealliance.rsa,Nicolette de Klerk,https://play.google.com/store/apps/developer?id=Nicolette+de+Klerk,,,,,,,
Handbook for MTN,,,https://play.google.com/store/apps/details?id=com.opmrain.mtnhb,Cranium COMMAND,https://play.google.com/store/apps/developer?id=Cranium+COMMAND,,,,,,,
Smart Solutions Nigeria,,,https://play.google.com/store/apps/details?id=com.paymenthubng.smart_recharge,Paymenthub Limited,https://play.google.com/store/apps/developer?id=Paymenthub+Limited,,,,,,,
Payz UG,,,https://play.google.com/store/apps/details?id=com.payzug.payzug,Pro Media Systems (U) Ltd,https://play.google.com/store/apps/developer?id=Pro+Media+Systems+(U)+Ltd,,,,,,,
Trailforks,,,https://play.google.com/store/apps/details?id=com.pinkbike.trailforks,Pinkbike.com,https://play.google.com/store/apps/developer?id=Pinkbike.com,,,,,,,
Pizarea,,,https://play.google.com/store/apps/details?id=com.pizarea.pizareamobile,Source Code Network,https://play.google.com/store/apps/developer?id=Source+Code+Network,,,,,,,
PriceCheck MTN,,,https://play.google.com/store/apps/details?id=com.pricecheck.mtn,PriceCheck,https://play.google.com/store/apps/developer?id=PriceCheck,,,,,,,
Promolante - GH Telco App,,,https://play.google.com/store/apps/details?id=com.promolante.app,Promolante,https://play.google.com/store/apps/developer?id=Promolante,,,,,,,
Psiphon Pro - The Internet Freedom VPN,,,https://play.google.com/store/apps/details?id=com.psiphon3.subscription,Psiphon Inc.,https://play.google.com/store/apps/developer?id=Psiphon+Inc.,,,,,,,
Quick Airtime,,,https://play.google.com/store/apps/details?id=com.quickairtime,Coremobile Group,https://play.google.com/store/apps/developer?id=Coremobile+Group,,,,,,,
Crystal Mtn,,Free,https://play.google.com/store/apps/details?id=com.resortstapped.CRYSTAL,Resorts Tapped LLC,https://play.google.com/store/apps/developer?id=Resorts+Tapped+LLC,3rd party,4.2,95,Sports,USA,20-Jul-17,"10,000 - 50,000"
MTN Football,,Free,https://play.google.com/store/apps/details?id=com.rhomobile.mtnfootball,MTN,https://play.google.com/store/apps/developer?id=MTN,Possible MTN app,3.7,73,Sports,Global,15-Mar-13,"50,000 - 100,000"
MTN Secure Chat,,Free,https://play.google.com/store/apps/details?id=com.seecrypt.mtn,Seecrypt,https://play.google.com/store/apps/developer?id=Seecrypt,Possible MTN app,4.1,7,Communication,Global,03-Aug-17,"500 - 1,000"
SimbaPay,,Free,https://play.google.com/store/apps/details?id=com.simbapay.simbapayandroid,SimbaPay,https://play.google.com/store/apps/developer?id=SimbaPay,3rd party,4.2,186,Finance,Global,21-Aug-17,"10,000 - 50,000"
SIM Card Information and IMEI,,Free,https://play.google.com/store/apps/details?id=com.simcard.info.imei,"Trusted App Developers, Inc.","https://play.google.com/store/apps/developer?id=Trusted+App+Developers,+Inc.",3rd party,4.2,3700,Tools,Global,11-May-15,"100,000 - 500,000"
OnTheSnow Ski & Snow Report,,Free,https://play.google.com/store/apps/details?id=com.skireport,Mountain News Corporation,https://play.google.com/store/apps/developer?id=Mountain+News+Corporation,3rd party,4.3,30092,Weather,USA,09-Feb-17,"1,000,000 - 5,000,000"
SocialPay Uganda,,Free,https://play.google.com/store/apps/details?id=com.socialpay.ug,Payline Holdings,https://play.google.com/store/apps/developer?id=Payline+Holdings,3rd party,4.5,27,Shopping,Uganda,01-Jun-17,100 - 500
MTN E-Ticket,,Free,https://play.google.com/store/apps/details?id=com.softit.e_ticket,Madrojudi,https://play.google.com/store/apps/developer?id=Madrojudi,3rd party,,,Communication,Benin,21-Feb-17,01-May
Airtime Loader - Rwanda,,Free,https://play.google.com/store/apps/details?id=com.startek.airtimeloader_rwanda,Startek,https://play.google.com/store/apps/developer?id=Startek,3rd party,5,1,Tools,Rwanda,05-Jun-17,50 - 100
Sula Merchant,,Free,https://play.google.com/store/apps/details?id=com.sulapay.app.merchant,Yoza Tech,https://play.google.com/store/apps/developer?id=Yoza+Tech,3rd party,,,Finance,Global,20-Jul-17,50 - 100
SuperTopup Easy Mobile Recharge,,Free,https://play.google.com/store/apps/details?id=com.supertopup,SuperTopup,https://play.google.com/store/apps/developer?id=SuperTopup,3rd party,4.3,11,Shopping,Nigeria,28-Jul-17,"1,000 - 5,000"
Talkray - Free Calls & Texts,,Free,https://play.google.com/store/apps/details?id=com.talkray.client,TiKL Inc,https://play.google.com/store/apps/developer?id=TiKL+Inc,3rd party,4.2,243678,Communication,Global,20-Aug-17,"10,000,000 - 50,000,000"
Top TopUp: Send Free Recharge,,Free,https://play.google.com/store/apps/details?id=com.textmeinc.topup,TextMe Inc.,https://play.google.com/store/apps/dev?id=7744106960263623416,3rd party,4.1,4363,Finance,Global,24-Jun-15,"100,000 - 500,000"
TFB Mobile Money,,Free,https://play.google.com/store/apps/details?id=com.tfb.wallet,Top Finance Bank Wallet,https://play.google.com/store/apps/developer?id=Top+Finance+Bank+Wallet,3rd party,4.9,8,Business,Uganda,19-Jun-17,100 - 500
Ozipress,,Free,https://play.google.com/store/apps/details?id=com.tolitoli.android.googleplay,DART Engineering,https://play.google.com/store/apps/developer?id=DART+Engineering,3rd party,4.4,21,News & Magazines,Cameroon,01-Aug-16,"500 - 1,000"
MTN FIT,,Free,https://play.google.com/store/apps/details?id=com.trainerize.mtnfit,TRAINERIZE,https://play.google.com/store/apps/developer?id=TRAINERIZE,3rd party,,,Health & Fitness,Global,08-Aug-17,Oct-50
MOUNTAIN,,Free,https://play.google.com/store/apps/details?id=com.trash.mountain,David OReilly,https://play.google.com/store/apps/developer?id=David+OReilly,3rd party,3.4,2642,Role Playing,Global,18-Aug-14,"10,000 - 50,000"
MyExpressTicket,,Free,https://play.google.com/store/apps/details?id=com.travel.globexcam.myexpressticket,GLOBEXCAM COMPANY LIMITED,https://play.google.com/store/apps/developer?id=GLOBEXCAM+COMPANY+LIMITED,3rd party,4.3,41,Travel & Local,Cameroon,31-Jul-17,"1,000 - 5,000"
Tele Alpha,,Free,https://play.google.com/store/apps/details?id=com.txcode.tele_alpha,Evolutionary Concept,https://play.google.com/store/apps/developer?id=Evolutionary+Concept,3rd party,,,Business,Uganda,25-Jun-17,Oct-50
MTN Yemen,,Free,https://play.google.com/store/apps/details?id=com.uba.mobile.mtn.yemen,MTN Yemen,https://play.google.com/store/apps/developer?id=MTN+Yemen,Possible MTN app,4,615,Communication,Yemen,12-May-14,"10,000 - 50,000"
UBA Mobile Banking,,Free,https://play.google.com/store/apps/details?id=com.uba.vericash,United Bank for Africa Plc,https://play.google.com/store/apps/developer?id=United+Bank+for+Africa+Plc,3rd party,3.9,4670,Finance,Uganda,03-Aug-17,"500,000 - 1,000,000"
Ug Pay,,Free,https://play.google.com/store/apps/details?id=com.ugmart.moneytransfer,Ugmart (U) Ltd,https://play.google.com/store/apps/developer?id=Ugmart+(U)+Ltd,3rd party,4.5,2,Lifestyle,Uganda,26-Jun-17,50 - 100
Ug Power,,Free,https://play.google.com/store/apps/details?id=com.ugmart.power,Ugmart (U) Ltd,https://play.google.com/store/apps/developer?id=Ugmart+(U)+Ltd,3rd party,4.8,24,Lifestyle,Uganda,10-May-17,100 - 500
Vodafone Top Up,,Free,https://play.google.com/store/apps/details?id=com.ugmart.vodafone,Ugmart (U) Ltd,https://play.google.com/store/apps/developer?id=Ugmart+(U)+Ltd,3rd party,4.2,32,Lifestyle,Uganda,21-Aug-17,"10,000 - 50,000"
TumaPesa - The MPESA Companion,,Free,https://play.google.com/store/apps/details?id=com.ujuzicode.tumapesa,Ujuzi Code Ltd,https://play.google.com/store/apps/dev?id=7143504769210118602,3rd party,4.3,966,Finance,Kenya,09-Feb-16,"100,000 - 500,000"
Millionaire Nigeria,,Free,https://play.google.com/store/apps/details?id=com.ultima.wwtbam,Who Wants To Be A Millionaire?,https://play.google.com/store/apps/developer?id=Who+Wants+To+Be+A+Millionaire?,3rd party,4,2251,Educational,Nigeria,20-Oct-16,"100,000 - 500,000"
GTBank,,Free,https://play.google.com/store/apps/details?id=com.vanso.gtbankapp,Guaranty Trust Bank,https://play.google.com/store/apps/developer?id=Guaranty+Trust+Bank,3rd party,4.1,13583,Finance,Global,12-Jul-17,"1,000,000 - 5,000,000"
MTNGH MOMO PAY SUBSCRIBER,,Free,https://play.google.com/store/apps/details?id=com.verifonemobilemoney.mtn.hce,MTN GHANA,https://play.google.com/store/apps/developer?id=MTN+GHANA,Possible MTN app,2.5,2,Business,Ghana,08-Jun-17,100 - 500
YemenCall Yemen Phone Director,,Free,https://play.google.com/store/apps/details?id=com.wardsoft.yemen_call,AlwardSoft,https://play.google.com/store/apps/developer?id=AlwardSoft,3rd party,4.2,4892,Lifestyle,Yemen,17-Aug-16,"100,000 - 500,000"
WayaWaya,,Free,https://play.google.com/store/apps/details?id=com.wayawaya.wayaa,WayaWaya Limited,https://play.google.com/store/apps/developer?id=WayaWaya+Limited,3rd party,4.4,14,Finance,Global,19-Aug-17,"500 - 1,000"
Send Money Transfers Quickly - Western Union US,,Free,https://play.google.com/store/apps/details?id=com.westernunion.android.mtapp,Western Union Android Apps,https://play.google.com/store/apps/developer?id=Western+Union+Android+Apps,3rd party,4.4,58622,Finance,Global,17-Aug-17,"1,000,000 - 5,000,000"
WorldRemit Money Transfer,,Free,https://play.google.com/store/apps/details?id=com.worldremit.android,WorldRemit,https://play.google.com/store/apps/developer?id=WorldRemit,3rd party,4.5,17998,Finance,Global,10-Aug-17,"500,000 - 1,000,000"
digiPOS,,Free,https://play.google.com/store/apps/details?id=com.worldvoice.digipos,WORLD VOICE SPRL,https://play.google.com/store/apps/developer?id=WORLD+VOICE+SPRL,3rd party,4.3,6,Productivity,Cameroon,01-Dec-16,"500 - 1,000"
